Date;Close
05/01/2004;685.999.984.741.211
06/01/2004;7.005.000.305.175.780
07/01/2004;688.499.984.741.211
08/01/2004;683.499.984.741.211
09/01/2004;6.880.000.305.175.780
12/01/2004;7.080.000.305.175.780
13/01/2004;6.994.999.694.824.210
14/01/2004;693.499.984.741.211
15/01/2004;6.955.000.305.175.780
16/01/2004;711.500.015.258.789
20/01/2004;7.469.999.694.824.210
21/01/2004;7.394.999.694.824.210
22/01/2004;7.530.000.305.175.780
23/01/2004;7.444.999.694.824.210
26/01/2004;773.499.984.741.211
27/01/2004;786.500.015.258.789
28/01/2004;76.75
29/01/2004;7.519.999.694.824.210
30/01/2004;75.5
02/02/2004;7.494.999.694.824.210
03/02/2004;746.500.015.258.789
04/02/2004;725.999.984.741.211
05/02/2004;725.999.984.741.211
06/02/2004;7.180.000.305.175.780
09/02/2004;71.5
10/02/2004;741.500.015.258.789
11/02/2004;743.499.984.741.211
12/02/2004;751.500.015.258.789
13/02/2004;74.0
17/02/2004;7.430.000.305.175.780
18/02/2004;703.499.984.741.211
19/02/2004;706.500.015.258.789
20/02/2004;7.030.000.305.175.780
23/02/2004;69.75
24/02/2004;730.999.984.741.211
25/02/2004;7.244.999.694.824.210
26/02/2004;745.999.984.741.211
27/02/2004;7.505.000.305.175.780
01/03/2004;744.000.015.258.789
02/03/2004;7.369.999.694.824.210
03/03/2004;7.180.000.305.175.780
04/03/2004;725.999.984.741.211
05/03/2004;7.305.000.305.175.780
08/03/2004;735.999.984.741.211
09/03/2004;720.999.984.741.211
10/03/2004;731.500.015.258.789
11/03/2004;74.75
12/03/2004;746.500.015.258.789
15/03/2004;76.0
16/03/2004;7.655.000.305.175.780
17/03/2004;75.75
18/03/2004;7.519.999.694.824.210
19/03/2004;7.555.000.305.175.780
22/03/2004;773.499.984.741.211
23/03/2004;764.000.015.258.789
24/03/2004;7.505.000.305.175.780
25/03/2004;71.25
26/03/2004;7.194.999.694.824.210
29/03/2004;724.000.015.258.789
30/03/2004;7.330.000.305.175.780
31/03/2004;73.75
01/04/2004;740.999.984.741.211
02/04/2004;734.000.015.258.789
05/04/2004;7.194.999.694.824.210
06/04/2004;7.280.000.305.175.780
07/04/2004;73.25
08/04/2004;7.255.000.305.175.780
12/04/2004;7.205.000.305.175.780
13/04/2004;693.499.984.741.211
14/04/2004;70.5
15/04/2004;704.000.015.258.789
16/04/2004;7.005.000.305.175.780
19/04/2004;704.000.015.258.789
20/04/2004;696.500.015.258.789
21/04/2004;673.499.984.741.211
22/04/2004;6.769.999.694.824.210
23/04/2004;6.794.999.694.824.210
26/04/2004;6.805.000.305.175.780
27/04/2004;6.919.999.694.824.210
28/04/2004;69.0
29/04/2004;6.805.000.305.175.780
30/04/2004;671.500.015.258.789
03/05/2004;67.75
04/05/2004;700.999.984.741.211
05/05/2004;7.019.999.694.824.210
06/05/2004;691.500.015.258.789
07/05/2004;680.999.984.741.211
10/05/2004;699.000.015.258.789
11/05/2004;7.044.999.694.824.210
12/05/2004;696.500.015.258.789
13/05/2004;7.030.000.305.175.780
14/05/2004;704.000.015.258.789
17/05/2004;6.830.000.305.175.780
18/05/2004;70.75
19/05/2004;7.294.999.694.824.210
20/05/2004;71.5
21/05/2004;723.499.984.741.211
24/05/2004;766.500.015.258.789
25/05/2004;7.780.000.305.175.780
26/05/2004;801.500.015.258.789
27/05/2004;7.994.999.694.824.210
28/05/2004;8.555.000.305.175.780
01/06/2004;829.000.015.258.789
02/06/2004;839.000.015.258.789
03/06/2004;830.999.984.741.211
04/06/2004;83.0
07/06/2004;8.105.000.305.175.780
08/06/2004;815.999.984.741.211
09/06/2004;83.0
10/06/2004;83.25
14/06/2004;7.994.999.694.824.210
15/06/2004;7.819.999.694.824.210
16/06/2004;781.500.015.258.789
17/06/2004;7.594.999.694.824.210
18/06/2004;7.569.999.694.824.210
21/06/2004;735.999.984.741.211
22/06/2004;740.999.984.741.211
23/06/2004;7.444.999.694.824.210
24/06/2004;7.405.000.305.175.780
25/06/2004;715.999.984.741.211
28/06/2004;7.255.000.305.175.780
29/06/2004;71.75
30/06/2004;730.999.984.741.211
01/07/2004;72.75
02/07/2004;7.005.000.305.175.780
06/07/2004;6.869.999.694.824.210
07/07/2004;694.000.015.258.789
08/07/2004;6.780.000.305.175.780
09/07/2004;688.499.984.741.211
12/07/2004;686.500.015.258.789
13/07/2004;6.855.000.305.175.780
14/07/2004;6.955.000.305.175.780
15/07/2004;7.019.999.694.824.210
16/07/2004;69.75
19/07/2004;7.019.999.694.824.210
20/07/2004;718.499.984.741.211
21/07/2004;713.499.984.741.211
22/07/2004;7.169.999.694.824.210
23/07/2004;698.499.984.741.211
26/07/2004;686.500.015.258.789
27/07/2004;6.794.999.694.824.210
28/07/2004;6.794.999.694.824.210
29/07/2004;676.500.015.258.789
30/07/2004;6.644.999.694.824.210
02/08/2004;6.644.999.694.824.210
03/08/2004;6.680.000.305.175.780
04/08/2004;6.630.000.305.175.780
05/08/2004;659.000.015.258.789
06/08/2004;6.705.000.305.175.780
09/08/2004;673.499.984.741.211
10/08/2004;6.705.000.305.175.780
11/08/2004;670.999.984.741.211
12/08/2004;6.555.000.305.175.780
13/08/2004;655.999.984.741.211
16/08/2004;689.000.015.258.789
17/08/2004;6.919.999.694.824.210
18/08/2004;665.999.984.741.211
19/08/2004;670.999.984.741.211
20/08/2004;6.655.000.305.175.780
23/08/2004;698.499.984.741.211
24/08/2004;6.944.999.694.824.210
25/08/2004;6.980.000.305.175.780
26/08/2004;706.500.015.258.789
27/08/2004;70.0
30/08/2004;686.500.015.258.789
31/08/2004;6.930.000.305.175.780
01/09/2004;7.044.999.694.824.210
02/09/2004;7.055.000.305.175.780
03/09/2004;6.830.000.305.175.780
