Tanggal,Prediksi
2023-12-30,190.1665
2023-12-31,192.28073
2024-01-01,194.12242
2024-01-02,195.58392
2024-01-03,196.67146
2024-01-04,197.93765
2024-01-05,199.46883
2024-01-06,201.17993
2024-01-07,202.9574
2024-01-08,204.7912
2024-01-09,206.67274
2024-01-10,208.59436
2024-01-11,210.53665
2024-01-12,212.482
2024-01-13,214.41739
2024-01-14,216.33311
2024-01-15,218.22064
2024-01-16,220.07356
2024-01-17,221.8851
2024-01-18,223.65219
2024-01-19,225.37212
2024-01-20,227.04222
2024-01-21,228.66103
2024-01-22,230.22905
2024-01-23,231.7459
2024-01-24,233.21097
2024-01-25,234.62642
2024-01-26,235.9933
2024-01-27,237.31383
2024-01-28,238.58766
