Tanggal,Prediksi
2023-12-30,189.13492
2023-12-31,189.52548
2024-01-01,189.73648
2024-01-02,190.02376
2024-01-03,190.36217
2024-01-04,190.66087
2024-01-05,190.8956
2024-01-06,191.10306
2024-01-07,191.31364
2024-01-08,191.55655
2024-01-09,191.85258
2024-01-10,192.18564
2024-01-11,192.51344
2024-01-12,192.84038
2024-01-13,193.16722
2024-01-14,193.49414
2024-01-15,193.82227
2024-01-16,194.15285
2024-01-17,194.48642
2024-01-18,194.82285
2024-01-19,195.16167
2024-01-20,195.5023
2024-01-21,195.84447
2024-01-22,196.18808
2024-01-23,196.53328
2024-01-24,196.88014
2024-01-25,197.2287
2024-01-26,197.57896
2024-01-27,197.93098
2024-01-28,198.2847
